date,sector,num_tokens,num_edges,avg_correlation,fiedler_eigenvalue
2024-07-31,Infrastructure,8,11,0.18083399198089917,0.7898158701166285
2024-08-31,Infrastructure,8,19,0.3428900931968998,8.881784197001252e-16
2024-09-30,Infrastructure,8,17,0.4054627822926566,8.881784197001252e-16
2024-10-31,Infrastructure,8,17,0.3373087153730737,0.6946056482999484
2024-11-30,Infrastructure,8,20,0.3987827703041647,3.552713678800501e-15
2024-12-31,Infrastructure,8,15,0.31905822379492843,0.0
2025-01-31,Infrastructure,8,17,0.41803939136045803,-5.2590727014734135e-31
2025-02-28,Infrastructure,8,23,0.47359700952693434,2.913869802348505
2025-02-28,Interoperability,108,3042,0.2823229871329984,5.440866954914181
2025-03-31,Infrastructure,8,20,0.3673000129912635,1.9422134352013645
2025-03-31,Interoperability,108,3092,0.27740793348138393,3.7238440523745733
2025-04-30,Infrastructure,8,22,0.3591067511101899,3.6972243622680065
2025-04-30,Interoperability,108,3007,,1.010546974666827e-14
2025-05-31,Infrastructure,8,17,0.2711302886287261,1.553550231948026
2025-05-31,Interoperability,108,2670,,-1.2343644275854714e-14
2025-06-30,Infrastructure,8,18,0.26290669259322735,2.209860918816551
2025-06-30,Interoperability,108,2262,,-1.4987217332140062e-14
2025-07-31,Infrastructure,8,15,0.2935749631820997,2.645070369190703e-15
2025-07-31,Interoperability,108,1903,,9.704573572667125e-15
2025-07-31,cApps,71,467,,-1.1970272504009675e-15
2025-08-31,Infrastructure,8,15,0.3208909797208573,8.883192099984851e-16
2025-08-31,Interoperability,108,2191,,2.906004780420441e-14
2025-08-31,cApps,71,582,,-9.18537371428179e-15
2025-09-30,Infrastructure,8,14,0.2459534423139083,1.6670470984504354e-19
2025-09-30,Interoperability,108,2313,,1.458572856821626e-14
2025-10-31,Infrastructure,8,20,0.44181627200544105,1.0000000000000004
2025-10-31,Interoperability,108,2645,0.23482800133833903,0.690707367519639
